ID,Question,Type,Answer,Time_lmit,Points,Year,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Keywords
1.0,해부학적 자세,서술형,"(1) 머리와 눈과 발 끝은 정면을 향하게 하고 (Anteriorly), (2) upper limbs를 trunk(torso)옆에 가지런히 내려 손바닥이 정면을 향하도록 (Anteriorly), (3) lower limbs를 가지런히 모으고 발 끝이 앞을 향하도록 (Anteriorly)",240.0,3.0,23.0,,,,,,,,,anteriorly;torso;upper limbs;trunk;lower limbs;머리와 눈과 발 끝은 정면을 향하게 하고;upper limbs를 trunk;옆에 가지런히 내려 손바닥이 정면을 향하도록;lower limbs를 가지런히 모으고 발 끝이 앞을 향하도록
2.0,표피와 진피의 차이,서술형,"epidermis(표피)는 각질화한 상피 keratinized epithelium로, 
얕게 위치한 세포층이며 혈관, 림프관이 없다. 
superficial layer은 거칠고 단단하며 깊은 층을 보호하고, 
basal layer는 재생능력이 있고 색소를 함유한다.",240.0,3.0,23.0,,,,,,,,,"표피;epidermis;keratinized epithelium;superficial layer;basal layer;는 각질화한 상피 keratinized epithelium로;얕게 위치한 세포층이며 혈관;림프관이 없다. 
superficial layer은 거칠고 단단하며 깊은 층을 보호하고;basal layer는 재생능력이 있고 색소를 함유한다."
3.0,Isotonic contraction과 Isometric contraction의 차이,서술형,"(1) Isotonic : 등장성수축으로 운동과 관계되어 근육의 길이가 변하는 것, 
(2) Isometric : 등척성수축으로 근육의 길이는 변하지 않고 이동이 일어나진 않지만 근장력(muscle tension)이 근긴장도(muscle tone) 이상으로 증가하는 것.",240.0,3.0,23.0,,,,,,,,,muscle tension;muscle tone;isotonic;isometric;isotonic : 등장성수축으로 운동과 관계되어 근육의 길이가 변하는 것;isometric : 등척성수축으로 근육의 길이는 변하지 않고 이동이 일어나진 않지만 근장력;이 근긴장도;이상으로 증가하는 것.
4.0,"Skeletal muscle / Cardiac muscle / smooth muscle의 차이 (관찰부위, 조직학적 구조차이, 신경지배, 특징적인 구조 등으로 나누어)를 설명하시오",서술형,"(1) Skeletal muscle은 일반적으로 muscle 이라고 부르는 곳으로
 육질이 붉고 수축하는 부분을 가지며 뼈대가로무늬근육으로 구성된다. 
그 관찰부위는 Biceps brachii가 대표적이다. 
Somatic nerve system의 자극에 대한 voluntary 또는 reflexive한 운동을 한다. 
또 각 조직들은 길고 가지가 없는 원통모양(cylinder shape)의 fiber로 가로무늬가 평행하는 섬유다
발에 배열되고 핵이 가장자리에 놓여있다. Skeletal muscle은 직, 간접적으로 bone, cartilage, fascia, ligament 
또는 이들의 복합부위에 부착되고, 어떤 muscle은 skin, eye 또는 glosso를 움직이는 muscle 의 mucous membrane 에 부착되기도 한다.
(2) Cardiac (striated) muscle은 myocardium을 형성한다. 그 관찰부위는 aorta가 대표적이다. Autonomic nerve system에 의해 involuntary한 수축운동을 한다. 
심장박동은 특수한 심전도 계통의 pacemaker에 의해 조절된다. Cardiac muscle은 striated muscle으로 skeletal muscle과 같이 순간적이고 힘있는 contraction 이 특징이다.
 마지막으로 cardiac muscle은 활동성을 연속하기 위해 skeletal muscle 보다 2 배 많은 혈액을 공급받는다.
(3) Smooth muscle은 가로무늬가 보이지 않는 unstriated muscle으로 혈관벽의 tunica media(중간층)의 많은 부분을 형성한다. 혈관이 있는 곳이면 어디든 있고 소화기관의 관 근육층 벽을 형성한다.
예를 들어 stomach, intestine or 피부, 모낭의 털 세움근 등에서 관찰 가능하다. Smooth muscle은 involuntary muscle로 심장근육과 비슷하지만 ANS(자율신경계통)에 의한 직접적인 지배를 받는다. 
Striated muscle에 비해 느리고 천천히 반응하지만 지속적인 수축, 근육을 신장시키는 능력은 striated muscle에 비해 큼 - 관 구조의 속공간직경 크기 변화, 조임근의 크기 조절에 중요. +)모든 조직 내 혈관벽에 존재. duct 모양 구조물의 근육 부분 형성, 피부와 털주머니 hair follicle에 있는 털 세움근과 렌즈의 두께와 동공의 크기를 조절하는 안구 부위에서도 발견",240.0,3.0,23.0,,,,,,,,,cylinder shape;striated;중간층;자율신경계통;skeletal muscle;muscle;biceps brachii;somatic nerve system;voluntary;reflexive
5.0,운동단위 (Motor unit),서술형,"근육의 기능적 단위를 운동단위라고 하며, 운동단위는 운동신경원 neuron과 운동신경이 지배하는근육섬유로 구성된다.",240.0,3.0,23.0,,,,,,,,,neuron;근육의 기능적 단위를 운동단위라고 하며;운동단위는 운동신경원 neuron과 운동신경이 지배하는근육섬유로 구성된다.
6.0,연골속뼈되기 (Endochondral ossification),서술형,"Endochondral ossification은 태아기에 뼈의 형태로 연골틀이 만들어진 후 점차 뼈로 대치된다. 
중간엽세포가 응집되고 chondroblasts(연골모세포)가 분화하여 cartilaginous bone model (연골뼈모형)을 만든다. 
이것이 calcify(석회화)가 되고, periosteal capillaries(뼈막의 모세혈관)가 bone model (뼈모형)의 calcified된 cartilage로 자라 들어와 안쪽에 분포한다. 
이들 혈관은 osteogenic cells(뼈형성 세포)와 같이 periosteal bud(뼈막싹)를 형성한다.",240.0,3.0,23.0,,,,,,,,,연골모세포;연골뼈모형;석회화;뼈막의 모세혈관;뼈모형;뼈형성 세포;뼈막싹;endochondral ossification;chondroblasts;cartilaginous bone model
7.0,인대결합 (syndesmosis),서술형,섬유관절의 syndesmosis type은 ligament나 fibrous membrane같은 fibrous tissue의 막에 의해 뼈가 연결된다. 인대결합(Syn desm osis)은 인대나 섬유막 같은 섬유조직의 막에 의해 뼈가 연결된다. 그래서 부분적으로만 움직일 수 있다. ex) 아래팔의 노뼈와 자뼈를 연결하는 interosseous membrane(뼈사이막),240.0,3.0,23.0,,,,,,,,,syn desm osis;뼈사이막;syndesmosis type;ligament;fibrous membrane;fibrous tissue;interosseous membrane;섬유관절의 syndesmosis type은 ligament나 fibrous membrane같은 fibrous tissue의 막에 의해 뼈가 연결된다. 인대결합;은 인대나 섬유막 같은 섬유조직의 막에 의해 뼈가 연결된다. 그래서 부분적으로만 움직일 수 있다. ex;아래팔의 노뼈와 자뼈를 연결하는 interosseous membrane
8.0,윤활관절의 구조,서술형,"두 뼈 사이에 cartilage가 있고, 뼈는 joint capsule(관절주머니)로 싸여 있으며, joint capsule은 바깥쪽이 ﬁbrous capsule(layer)(질긴 섬유막)으로 되어있고, 안쪽은 synovial m embrane(윤활막)으로 덮여있다. 이 capsule의 안을 joint cavity라고 하고 그 안에는 윤활 작용을 하는 소량의 synovial fluid가 있다.",240.0,3.0,23.0,,,,,,,,,관절주머니;layer;질긴 섬유막;윤활막;cartilage;joint capsule;brous capsule;synovial m embrane;capsule;joint cavity
9.0,Gomphosis (치아확돌기),서술형,gomphosis은 치아뿌리와 턱의 이틀돌기 사이에서 쐐기못 같은 돌기가 socket joint (소켓관절)에 박히는 형태의 섬유관절이다.,240.0,3.0,23.0,,,,,,,,,소켓관절;gomphosis;socket joint;gomphosis은 치아뿌리와 턱의 이틀돌기 사이에서 쐐기못 같은 돌기가 socket joint;에 박히는 형태의 섬유관절이다.
10.0,일차연골관절(primary cartilaginous joint)과 이차연골관절(secondary cartilaginous joint)의 차이와 관찰되는 부위,서술형,"(1) Primary cartilaginous joint는 뼈들이 유리연골(hyaline)로 연결되어 어릴 때는 약간의 구부림이 가능하다. 이는 대개 일시적인 결합형태로 long bone의 발달 중에 나타나며, epiphysis(뼈끝)과 뼈몸통이 epiphysis plate(뼈끝판)에 의해 결합된다. 그 예는 femur(넙다리뼈)가 있다. (2) Secondary cartilaginous joint 는 fibrous cartilage에 의해 연결되며 강하고 약간의 운동이 가능한 joint 이다. Vertebra 사이에 있는 fibrous cartilage인 intervertebral disc(척추뼈 사이원반)는 vertebra를 결합시키는 connective tissue(결합 조직)로 구성된다. (2)에 속하는 것은 위에 있는 intervertebral disc가 있다.",240.0,3.0,23.0,,,,,,,,,hyaline;뼈끝;뼈끝판;넙다리뼈;척추뼈 사이원반;결합 조직;primary cartilaginous joint;long bone;epiphysis;epiphysis plate
